,Job Descriptions
1022,php developer job description php developer responsible manage end service interchange datum server user responsible integrate end element build co worker application familiarity limitation php platform workaround proficient php angular html5 javascript jquery expert experience php mvc framework laravel codeigniter zend etc hand angular excellent relational database skill mysql experience build restful json web service prefer require candidate profile candidate minimum 3 5 year experience php development developer responsible design development enhancement debug implementation web software application agile team scrum kanban environment opportunity work variety technology framework responsibility include create api php mysql integrate api end angular react html css job type time schedule day shift experience php laravel 3 year prefer total work 3 year require education bachelor require location kochi kerala preferred benefit pay leave leave encashment work home industry software development work remotely yes
1023,node js developer look nodejs developer design develop backend application highly robust scalable person excellent problem solver strong technical knowledge javascript framework responsibility build optimize end mobile web application strong knowledge build rest ful api knowledge git understand cache message broker like redis memcache rabbitmq familiarity database technology mysql postgresql design develop new micro service integrate exist rest web service experience aws deployment process 2  year professional experience nodejs express deliver high quality innovative flexible cost optimize scalable technical solution meet business requirement develop construct test maintain architecture database large scale datum processing expect start date 22122020 job type time salary  45000000  60000000 year schedule monday friday experience node js express 2 year require database technology mysql postgresql 2 year require backend developer 2 year require education bachelor require location bengaluru karnataka require
1024,software engineer hello guy hire java test android ui development fresher passedout year 2016 2020 qualification be btech me mtech bca mca percentage criterion job type time fresher salary  1500000  4500000 month schedule day shift monday friday morning shift supplemental pay performance bonus yearly bonus experience net 1 year prefer total work 1 year prefer java 1 year prefer c 1 year prefer education secondary10th pass preferred work remotely speak employer 91 8197383927
1025,machine learning role responsibility understand client business objective strategy ensure analysis work focus area value add collaborate stakeholders team leader order understand problem statement design execute potential solution mentor team member ensure fault free execution project solution integration multiple source datum work bigdata platform perform exploratory datum analysis large complex datum set comprise structure semi structured unstructured datum work multiple unstructured problem deliver insights end to end solution improve clients understanding customer analysis statistic machine learn algorithm abreast late development datum science space industry potential use mail cv careertorcaicom
1026,node js developer job description work node js express js experience react js meteor js angular backbone j expert postman work experience platform twilio bandwidth telnyx voice sm api prefer experience rest json develop api implement server code design datum architecture modern web framework strong hand experience different database include limit mongodb mysql couch db job type time schedule day shift flexible shift experience nodejs 1 year prefer total work 1 year prefer education high secondary12th pass preferred work remotely temporarily covid19
1027,network administrator job description role responsibility provide 3rd level technical support complex problem operational environment recommend alternative solution priority system hardware software design change improvement perfor job description role responsibility provide 3rd level technical support complex problem operational environment recommend alternative solution priority system hardware software design change improvement perform hour work support change manage problem resolution define process flow implement change define change management protocol perform additional responsibility assign configure network device device activation implementation network performance investigation perform wan lan troubleshoot firewall vpn troubleshoot monitor network device circuit provide circuit utilization report maintain cmdb inventory service desire candidate profile 9  year extensive experience knowledge rs wireless optimization load balance work complex environment include product enterprise scenario hand experience fortigate firewall cisco asas cisco ftd cisco switch catalyst nexus f5 load balancer cisco wireless network cisco umbrella cisco prime infrastructure configuration support include analyse log troubleshoot issue configure wireless policy cisco ise infrastructure configuration support include configure maintenance analyse log troubleshoot account authentication issue experience route protocol specially ripv2 ospf bgp experience proficient azure network security love collaborative environment use agile methodology encourage creative design thinking find innovative way develop cut edge technology ambitious individual work direction agree target goal creative approach work intuitive individual ability manage change prove time management prove interpersonal skill contribute team effort accomplish relate result need
1028,ios developer ios developer nykaa responsible develop new feature maintain exist contribute architecture code design coaching training junior software engineer knowledgeable programming language operating system network database sql algorithm architecture code design design pattern experience develop library sdk mobile advantageous strong understanding object orient principle solid knowledge ios app lifecycle emerge technology io ecosystem experience release update sdk central repository knowledge push notification service skills swift objective c xcode cocoa touch problem solve data structure algorithm design pattern mvvm understand architectural pattern mvc mvvm job type time salary  150000000 year experience total work 1 year prefer io 1 year require education bachelor require work remotely
1029,node js developer career job d su1028 role node js developer type employment time employment work location hyderabad uppal require qualification btech work shift normal shift time experience term number year 2 year role responsibility strong proficiency javascript es678 hand experience relational database like mssql mysql postgre etc knowledge sql base database mongodb prefer understanding memory cache engine like redi memcache good knowledge restful api microservice strong knowledge nodejs framework like e xpress loopback basic understanding end technology html5 css3 understand accessibility security compliance user authentication authorization multiple system server environment knowledge modern authorisation mechanism json web token oauth 20 integration multiple datum source database system understand fundamental design principle scalable application create database schema represent support business process proficient understanding code version ing tool git ci cd environment key skill node js react js javascript es678 mongo db
1030,wordpress developer job description wordpress developer excellent knowledge wordpress plugin development custom development strong wordpress experience exposure large scale wordpress application complete knowledge wordpress architect optimise performance security website ability convert complex requirement wordpress cms ability create customize plugin complex requirement work woocommerce plugin greatly customize woocommerce experience theme development integration customization knowledge oops concept agile quick problem solver candidate knowledge template conversion html php require knowledge woo commerce development strong knowledge cms development experience 2 3 year position 6 position location ahmedabad
1031,stack developer company information solid reputation passionate people endless opportunity traveler superior financial strength consistent record strong operating return mean security customer opportunity employee find traveler energy workplace truly difference job summary traveler ha exciting opportunity senior engineer digital technology team join innovative team create forward thinking software solution member team enjoy seek opportunity technical advocate influence develop redesign strategic software application stay late technology trend passion build responsive web web service api enable architecture expertise javascript ui framework angular nodejs react lead success enjoy work team collaborative environment primary job duty responsibility stack developer engineer design test develop deploy maintain improve software asset deliver high quality code hand development attention detail analyze research issue provide solution quickly resolve enjoy mentor development process work closely agile team product owner engineer scrum master collaborative environment actively participate solution design system engineer architect minimum qualification high school diploma equivalent require 3 year programming development experience require education work experience knowledge ba bs computer science relate field equivalent practical experience 6  year relevant hand software development experience high proficiency client javascript framework reactjs angular modern j ui framework cs bootstrap nodejsnet framework es2015  experience desirable hand experience work web service technology rest json soap experience automate unit test acceptance testing framework nunit mocha jasmine jest selenium working experience version control git svn experience work agile scrum development process prefer ambition learn utilize emerge technology work stimulate environment experience client face technology heavy hand development individual contributor excellent verbal write communication skill prove ability learn adapt change quickly easily familiarity devop continuous delivery configuration management tool desire job specific technical skill competency expert javascript skill angular 2  reactjs nodejs net frameworknet core automate unit test j net equal employment opportunity statement traveler equal opportunity employer
1032,database administrator nutanix cloud computing software company sell hyper converge infrastructure appliance software define storage find 2009 publicly hold company 2016 leader 2018 gartner magic quadrant hyper converge system nutanix right fit passionate technology creative accomplished grow career pride encourage culture learn failure pick good version nutanix offer opportunity participate professional development learning foster inspire environment believe support family fully pay healthcare plan equity financial tool wellness program job summary nutanix solution architect sa combine deep technical expertise keen understanding address critical business need enterprise customer nutanix product solution sa high impact high visibility role consider pinnacle system engineering career path nutanix responsibility self starter flourish dynamic technology company support sale team large andor strategic opportunity love solve complex distribute database system problem engage senior technical decision maker sale process present discus value proposition associate specialization build long term business relationship trust advisor select account opportunity sell nutanix solution ability demonstrate improve reseller alliance partner relationship increase sale build deliver technical product solution presentation andor training session customer partner nutanix need install support maintain nutanix solution proof concept poc deployment stay ahead learn curve area expertise relate business trend requirement deep domain expertise rdbms technology like oracle microsoft sql db2 postgresql experience architecting designing deploy complex database deployment help customer build dbaas architecture hand experience oracle mssql database understand awr perfmon report experience size design complex workload broad database analytic experience technology like nosql db workload like mongodb cassandra couchdb desire prove experience follow area application virtualization server virtualization maintain relationship technical resource level customer organization deep understand technical sale technique process include ability understand customer need overcome objection assist development business case technically close deal flexible dependable self starter capable quickly learn new product technology excellent oral write communication skill excellent presentation skill ability travel united state require experience sell server storage hardware network strong knowledge linux unix extraordinary teammate work dynamic situation startup environment qualification experience bachelor degree equivalent experience 5 8 year prior sale engineering reseller experience high tech sale environment prove track record success drive customer adoption technology
1033,database administrator town foxborough seek highly skilled professional department administrator support town building inspection department department administrator responsible management day to day operation building inspection department interact resident business board selectman town department elect official successful candidate posse superior administrative skill customer service skill ability maintain database position require utmost dependability flexibility attention detail demonstrate ability perform fast pace environment duty include limit support operation building inspection department prepare correspondence create maintain record report answer telephone provide information referral person telephone respond complaint processing mail person process permit application maintain database calculate fee enter datum pertain permit fee maintain record produce building permit online manually complete electrical plumbing gas trench permit produce weekly work schedule department personnel maintain inspection log coordinate inspection request update edit town website inspection department design review committee foxborough committee disabled citizen monitor procure supply department process vendor inspector invoice responsible muni function include inputte salary calculate fee produce payroll monitor budget processing invoice maintain financial record employee generate report inclusion budget process produce monthly permit statistical financial report use finance director chief assessor school department annual town report u census bureau publication job entail oversight annual inspection process include preparation monthly draft notice fee application annual year inspection place assembly institutional building multi family dwelling accord renewal schedule job description available human resource department qualification experience high school education course office procedure business practice associate degree relate field desirable year progressively responsible office experience equivalent combination education experience strong technical organizational skill communication skill require salary benefit 35 hour week benefit eligible position salary range  2682 3270 hour position cover collective bargaining agreement united steelworker town foxborough apply online submit cover letter resume http wwwfoxboroughmagov page foxboroughmahr index application accept august 14 2018 post date july 25 2018 equal opportunity employer town foxborough accommodate need physically challenge disabled people reasonable mean accordance american disability act
1034,php developer previous experience development high end web application php mysql ajax strong understanding w3c compliant html css code strong php skill scripting object orientation oops strong knowledge mysql database include construction store procedure trigger performance management good work knowledge core php mvc framework like solid linux background ubuntu cento prefer work knowledge shopping cart development shipping payment gateway integration e commerce website excellent database design implementation skill strong knowledge javascript javascript framework preferably jquery previous use version control system git svn knowledge linux operation system mandatory window os server knowledgeaw optional experience php mysql 1 3 year prefer education bachelor prefer licence core php preferred programming language need html prefer css prefer php prefer mysqlpreferred javascript preferred work location mumbai city application deadline 7122020 expect start date 7122020 job type time walk salary  1577900  5057400 month benefit cell phone reimbursement commuter assistance flexible schedule food allowance internet reimbursement pay sick time work home schedule day shift supplemental pay yearly bonus experience total work 1 year require php mysql 3 year preferred education bachelor require licence core php require programming language need html require css require javascript require php require net require speak employer 91 9076140775
1035,django developer job type time employee experience 4  year experience python education btech mca location ernakulam cochin quality seek desire candidate strong knowledge django framework experience desktop online version good expertise database sql excellent write verbal communication skill english team player
1036,backend developer chai lover icedcoffee aficionado position west agile lab appetite scripting roar look team player eat breathe talk code afraid experiment west agile labs global software development digital design company base san francisco office india team 120 people work startup include 7 y combinator enterprise organization west agile labs extra mile client project project follow offer consulting design development service build great product foster close relationship help grow incredible company keen sense emerge technology business acuman culminate year experience produce sustainable viable product build build smart build efficiently build passion requirement look exp range 4 10 year mern smart team player good communication skill professional experience sound technical knowledge nodejs reactjs programming language self learner able build application scratch conduct participate design review code review understand good standard guideline etc actually care adhere ability write clean modularize maintainable test code good knowledge tdd good knowledge end tool html css javascript knowledge frontend js framework plus huge plus know reactjs ability handle complex problem design execution able build scalable web application prior experience work aws heroku environment db knowledge sql nosql system skill html css javascript knowledge es6 jquery json restful api mongodb rdbms system like postgre mysql backend framework language like ruby rail django express js preferred nodej reactjs knowledge frontend framework like vuejs angular ember knockout plus git source version control system requirement knowledge asynchronous programming db query aggregation framework pipeline concept good understanding server template language like jade pug handlebar etc good understand css preprocessor like sas etc basic understanding end technology html5 css3 understanding web accessibility security compliance understand fundamental design principle scalable application knowledge testing framework jest jasmine mocha chai etc proficient understanding code versioning tool git svn etc benefit work home work home option available employee consider case case basis prior approval respective manager certification reimbursement continuously perform important update late technology trend market support employee help financially provide suggestion industry expert area certification require health insurance accidental insurance reward recognition employee reward performance regular basis leave birthday leave maternity leave paternity leave uber work employee work post 8 pm office premise travel home safe uber wal associate uber late work employee pay travel home fitness allowance employee eligible fitness access pass quarterly basis
1037,software engineer manual tester 3 5 year job experience automation experience experience testing enterprise web application like erp crm etc
1038,network administrator immediate appoint network engineer want network admin system admin desktop support engineer good salary facilitiesesi pf need 0 3year detail contact hr team6374331125 fresher apply immediate appoint network engineer want network admin system admin desktop support engineer good salary facilitiesesi pf need 0 3year detail contact hr team6374331125 fresher apply
1039,devops engineer associate principal engineer devop cloud automation 10 13 year experience nagarro nagarro help client transform adapt build new way future entrepreneurial agile care mindset excel digital product engineering deliver promise think breakthrough today 8400  expert 25 country form nation nagarrian ready help customer succeed nagarro look forward work culture dynamic non hierarchical opportunity add value challenge complex assignment collaborate world class technologist versatile environment help foster fresh perspective enable deliver high quality code ample opportunity provide skill upgradation accelerate professional personal development good fit role strong experience jenkin ci cd native mobile app azure devops source code management gitlab github svn subversion bitbucket nuget artifactory build automation server aw codebuild aw codedeploy jenkins cloudbees bamboo circle ci gitlab ci gitlab runner urban code deploy cd team city octopus sonar automation tool terraform cloudformation lambda python middleware tomcat jboss wildfly websphere weblogic payara jetty glassfish coldfusion iis ngnix apache database mssql oracle mysql sybase postgres mongodb berkeley db memcached rds container management rkt docker docker swarm kubernetes openshift apache mesos collaboration jira confluence azure devop orchestration electric flow electric cloud automic ansible tower awx jenkin cloud openstack aws azure gcp ibm bluemix cloud foundary 9 monitor cloudwatch cloudtrail ability provide design solution develop azure pipeline mobile ci cd ios android depth knowledge mobile signing android io provision profile ios strong troubleshooting skill different disparate technology environment enthusiastic different area work explore new technology clarity think strong communication skill effectively pitch solution ability explore grasp new technology mentor team member project help new technology empower team member solution provider enable flat environment point view consider feedback encourage responsibility understand client business use case technical requirement able convert technical design elegantly meet requirement mapping decision requirement able translate developer identify different solution able narrow good option meet client requirement define guideline benchmark nfr consideration project implementation write review design document explain overall architecture framework high level design application developer review architecture design aspect like extensibility scalability security design pattern user experience nfr etc ensure relevant good practice follow develop design overall solution define functional non functional requirement define technology pattern framework materialize understanding relate technology integration scenario apply learn project carry poc sure suggest design technology meet requirement
1040,network administrator tenderdetailcom comprehensive tender search datum base dynamically update minute strong user friendly search engine provide access 100000 live tender 2000000  archive tender invite indian government psus private company include tender result contract award process scan 1200  newspaper trade journal 4000  website daily basis tenderdetailcom india large web base tender information service provider daily basis work continually behalf ensure relevant tender relate business product service digitize classify mail timely open post network administrator look right candidate join company immediate basis job title network administrator job description 1 play key role deployment configuration management router firewall vpn infrastructure 2 fully support configuring maintain upgrade corporate customer network house server 3 instal integrate new server hardware application 4 configure verify router hardware software operation command strong knowledge protocol 5 experience manage antivirus console linux base operating system 6 experience sql database backup restore file folder backup role category admin maintenance security datawarehouse employment type time permanent criterion 1 prove experience network administrator role 2 excellent knowledge good practice management control monitoring server infrastructure 3 experience router firewall internet vpn remote implementation troubleshooting problem resolution desire 4 familiarity backup recovery software methodology job location ahmedabad year experience 5 7 year join immediate basis application deadline 23102020 job type time walk salary  2300000  3000000 month schedule day shift experience network administration 5 year prefer education bachelor prefer work remotely
1041,flutter developer profile job profile flutter developer minimum 2 3 year time mobile development experience io android experience flutter experience dart experience java andor swift objective c experience launch manage production mobile app experience author testing deploy code mission critical application experience develop integration common api eg firebase twitter instagram stripe braintree google etc responsibility desire work startup environment able self manage work remotely build android andor ios app flutter prove work experience software development working experience mobile development publish mobile app google play app store experience party library api working knowledge general mobile landscape architecture trend emerge technology solid understand mobile development life cycle include automate testing building experience work agile development process proficient version control continuous integration tool git jenkin write clear maintainable testable code good communication skill english
1042,javascript developer look highly motivate software developer join team remotely help design build mobile application backend infrastructure smart home product thousand customer connect device interact cloud service job involve develop highly scalable reliable software infrastructure build amazon web service work heavily service dynamodb lambda mysa progressive company culture embrace work life balance remote work silver line covid19 pandemic look position company wide perspective learn exactly successfully manage remote team proud achieve core value heart depth understand imperative people matter locate experience culture family like environment manner appreciate key successful remote work foundation build effective communication team base collaboration access right tool mysa regardless location position success skill javascript git jira communication skill nosql database react aw responsibility duty work cut edge technology develop new solution collaborate ui ux visual designer craft good user experience work closely software developer hardware design development team ensure entire technical ecosystem interoperate smoothly build software service primarily javascript typescript develop new feature react web react native mobile help improve software development process participate brainstorm session contribute idea technology product work achievement company vision statement requirement diploma degree computer science software engineering relate field combine software development training minimum 3 year relevant software development web development work experience experience javascript modern framework experience relational nosql database experience cloud technology aw prefer experience git jiraable work comfortably window linux mac development environment analytical thinker creative mind adaptable nature ability work team excellent communication skill ability clearly present solution efficiently multi task priority benefit perk reward career path sharpen skill showcase talent environment recognize appreciate work effort flexible environment work home coffee shop fit flexible hour set office hour work 40 hrs wk meet role requirement competitive inclusive hourly rate innovative software technology slack internal communication tool need mysa believe people heart business appreciate individual unique quality diverse experience role sound exciting fit criterion hesitate apply value individual ability profile paper require experience qualification experience 3 5 year software development require graduation bsc computer science require proficient english require
1043,devops engineer product unique selling point large customer segment client client fast grow muslim community startup job description devops engineer responsible develop manage devop infrastructure handle api traffic system build devop automation improve devops discipline successful applicant successful candidate 3 year hand experience run infrastructure service excellent bash script fundamental hand scripting programming language python golang etc good understanding distribute system fundamental able troubleshoot issue large distribute infrastructure working knowledge tcp ip internet route load balance basic understanding cluster orchestrator scheduler kubernete deep knowledge linux production environment container technology docker experience production distribute system understand microservice architecture restful service ci cd prior experience aws gcp azure etc plus offer fast grow startup strong customer base
1044,php developer job summary handle project independently responsibility duty responsible handle project independently design develop implement test document maintain high quality web application code standard project task plan require experience skill qualification computer degree diploma experience 2 4 yr laravel work experience skill php sql word press html css javascript job type time salary  20000000  35000000 year experience work 2 year prefer 2 year prefer education bachelor require work remotely temporarily covid19
1045,devops engineer hi folks urgent requirement devop engineer 6 1 year contract  ownership ci cd tool like jenkins github action gitlab pipeline preferable  deep familiarity computer network operate system concept  fundamental basic knowledge programming language  hand experience terraform preferable ansible puppet chef  hand experience python  experience gcp preferable aw azure  comfortable linux live terminal  know network security protocol job type time contract experience total work 4 year preferred
1046,devop engineer aws jenkin kubernete terraform job description look devop engineer aws jenkin kubernete terraform support team work dsbu software development project key skill aws ec eks rds s3 ec2 ci cd cloud formation cloud trail cloud config cloud watch etc linux virtualization container kubernete automation jenkin azure devops git helm terraform cloudformation scripting python perl groovy network fundamental network security network virtualization prefer skill devop practice ci cd infrastructure code architecting automate software integration delivery cloud script python perl groovy automate deployment aws azure build test deployment automation jenkin azure devops git helm terraform cloudformation security operation automation support security good practice eg encryption authentication authorization integrity linux virtualization container kubernete network fundamental network security network virtualization database administration highly available datum architecture design distribute cloud base architecture service containerization rest web service microservice infrastructure testing integration testing performance testing document technical design ensure traceability requirement deliver asset 00 800 year
1047,node js developer job position node js developer experience 3  yr description experience html css ajax programming language like program python node js mysql mongo db puppet php kvm openstack aw open source python perl kafka development experience design object orient javascript node js knowledge web library framework angularjs polymer closure javascript proficiency include es6  syntax nodejs database knowledge mongodb mysql experience work mean stack thorough understand node js principle experience datum structure library proficient source control management collaboration tool git diligence code standard experience external integration plus expertise linux base system experience testing automation framework skill javascript nodejs mongodb mean mern angular typescript npm git qualification btech mca mcs job type time location pune
1048,flutter developer job description flutter mobile developer create multi platform app ios android google new flutter development framework prior experience develop flutter mandatory experience develop dart flutter andor web require additionally deep experience contribute manage high scale production mobile app desire expertise ios andor android development prefer minimum 5 6 year time mobile development experience io android minimum 1 year experience flutter dart bonus point experience java andor swift objective c experience launch manage production mobile app os ie android io experience author testing deploy code mission critical application experience develop integration common api eg firebase twitter instagram stripe youtube google etc mindset project individually build android andor ios app flutter publish mobile app google play app store experience work agile development process write clear maintainable testable code
1049,node js developer stack developer 2 5 year experience mistersin focus break taboo govern inhibit conversation sex india specifically target group man intent challenge culture encourage exaggeration description sexual performance innuendo stereotype suppress instinct acknowledge problem sexual nature mistersin seek boost technical team hire stack developer 2 5 year experience person instrumental help build strong backend framework enable implementation product head user journey roadmap work product manager end end project design client server architecture build end application develop manage function database application write effective scalable api maintain work aws infrastructure service eager work founder team build company start maturity strategic thinker focus vision rationale marketing initiative problem solver welcomes find way solve unfamiliar problem ambitious realistic goal setter high drive perform stack developer delhi gurgaon 2 5 year experience strong problem solve analytical skill experience django django rest framework experience develop rich ui application framework technology include react css html5 experience web technology linux postgresql redis nginx supervisor work aws cloud infra provider strong debug troubleshooting skill problem solver welcomes find way solve unfamiliar problem ambitious realistic goal setter high drive perform analytical mission drive leader impressive track record like hand dirty expect mission drive fire great impact small team vision energise people happy work industry consumer good computer software employment type time expect start date 15122020 job type time salary  3000000  5000000 month benefit health insurance pay sick time work home schedule day shift experience software development 1 year prefer total work 1 year prefer java 1 year prefer angular node js 1 year prefer education bachelor prefer work remotely yes
1050,javascript developer job description atom cto look stack javascript developer join international team experience develop web application api javascript framework like express fastify feather js etc comfortable create client application vue nuxt react integrate party api role mix rd work discover late great trend build solution spec believe work balance personal time find long hour ask sacrifice free time project agree work week role responsibility work house development team build solution translate design requirement maintainable code follow good practice building pixel perfect ui build reusable component end library future use optimize component maximum performance platform willingness learn new platform adapt requirement change coordinate team team member integrate system manage time report progress key skill commercial experience building javascript web application api commercial experience build javascript typescript web client vuejsreact etc experience work sql nosql datum store experience integrate consume party api root cause analysis diagnostic examination resolve issue practical experience design pattern strong ground solid principle system analysis design comfortable git github bitbucket unit testing test drive development result orient attitude excellent verbal write communication skill english advantageous skill basic understanding gdpr datum governance protection experience experience work cloud platform azure aw gcp additional development experience framework language perk benefit work life balance hate working evening weekend choose hour long work mind code night sleep day like variety work stream project different sector ed tech fin tech blockchain educate learn important share passion rest team cross pollinate idea international hq london team client spread world 400 600 year bachelor technology btech be master technology mtech me msc
1051,javascript developer role javascript developer position time location hyderabad requirement bit strong commercial experience work modern end framework vuejs reactjs angular strong knowledge modern html css practice strong knowledge seo ux web accessibility performance comfortable work web service rest json experience integrate party api experience build responsive web application cross browser compatibility solid understand source control system git hold high code standard strict follower end good practice basic knowledge relational database strong communication interpersonal skill involve code review feedback developer job type time pay  29828200  155174500 year schedule monday friday experience reactjs 2 year require javascript 5 year require vuejs 1 year require angularjs 1 year require education bachelor require location hyderabad telangana prefer
1052,node js developer job description look nodejs developer responsible manage interchange datum server user primary focus development server logic definition maintenance central database ensure high performance responsiveness request end responsible integrate end element build co worker application basic understanding end technology necessary responsibility integration user face element develop end developer server logic writing reusable testable efficient code design implementation low latency high availability performant application implementation security datum protection integration datum storage solution include database key value store blob store etc skill qualification strong proficiency javascript coffeescript knowledge nodejs framework available express strongloop etc understande nature asynchronous programming quirk workaround good understand server template language good understand server css preprocessor basic understanding end technology html5 css3 user authentication authorization multiple system server environment integration multiple datum source database system understande fundamental design principle scalable application understanding difference multiple delivery platform mobile vs desktop optimize output match specific platform creating database schemas represent support business process implemente automate testing platform unit test proficient understand code versione tool job type time walk experience work 1 year prefer 3 1 year prefer education bachelor prefer work remotely
1053,machine learn 02 sep2020 job d 301780br questionnamejob descriptionanswervalue20  brand cater 50  disease area team novartis specialist insight analytic datum digital transformation journey leverage analytic generate actionable insight novartis medicine impact 500 million patient worldwide team poise enable easy fast reliable decision novartis division globe understand complex critical business problem country regional global business function formulate integrate analytical approach datum source employ statistical method machine learn algorithm discover actionable insight automate process reduce effort time repeat use high agility able work business domain commercial nto gdd nibr nbs division onco genmed sandoz able use business presentation smart visualization tool contextual story tell translate find business user clear impact direct team management work variety business application include limit customer segmenta tion target event prediction propensity modelling churn modelling customer lifetime value estimation forecasting recommender system modelling response incentive mar kete mix optimization price optimization develop automation repeatedly refresh anal ysis generate insight modelling response incentive marketing mix optimization price optimization collaborate globally disperse internal stakeholder cross functional team solve critical business problem deliver successfully high visibility strategic initiative understand life science datum source include sale contracting promo tion social medium patient claim real world evidence quickly learn use tool datum source analytical technique need answer wide range critical business question articulate solution recommendation business user work senior datum science team member present analytical content concisely effectively project manage task work ally team member plan proactively anticipate actively manage change set stakeholder expectation require identify operational risk independently drive issue resolution minimize surprise escalation independently identify research article reproduce apply methodology novartis business problem position title datum scientist
1054,ios developer experience 2 4 year salary range 10 lakh location indore contact ceohrbizhubgmailcom 91 8989266449 job type time salary  10000000 month experience total work 1 year prefer work remotely
1055,php developer 6 month 1 year web application development experience laravel excellent knowledge core php mysql experience php mvc framework preferable codeignitor cakephp etc hand experience web technology include html5 css3 javascript jquery ajax xml json good knowledge relational flat database mysql experience common party apisgoogle map facebook strike paypal githu etc strong analytical problem solve skill ability work independently good verbal write communication skill order document present architectural design standard job type time salary  2000000  3000000 month schedule day shift experience work 1 year prefer total work 1 year prefer education bachelor prefer work remotely
1056,database administrator application database administrator position number 994855 requisition s00946 salary range pay rate salary commensurate education experience position note compensation commensurate education experience information oakland university salary structure fringe benefit website http wwwoaklandedu uhr benefit employee group grade ap band job category administrative professional work schedule ft reg 40 hour shift day time position consideration apply august 22 2018 pay schedule month number hrswk 40 position information position information minimum qualification year experience implement maintain enterprise relationship planning erp application environment experience troubleshoot resolve complex production application database issue oracle environment depth knowledge enterprise application suite application security application upgrade backup recovery experience tuning database query ability lead review performance tune consideration ability create install maintain database object table index etc ability write implement database procedure function trigger experience assist developer database activity solve complex client application issue experience monitoring application relate job datum replication activity demonstrate experience automate monitoring replication solution experience coordinate work database administrator bachelor degree computer science closely relate field equivalent combination education andor experience self direct team player ability contribute group project work collaboratively member strong technical team strong problem solve skill flexibility work schedule willingness occasionally adjust work hour maintenance window require wednesday midnight 8 am tuesday wednesday thursday 3 time year semester fiscal year end june 30 july 1 limit weekend determine position technical lead erp issue ability travel education professional development conference excellent problem solve organizational analytical skill excellent oral write communication skill work sample include write document relate line work desire qualification year experience high education environment experience administer ellucian banner experience manage linux unix operating system advanced experience sql query relational table logic experience configure manage tomcat andor oracle weblogic qualification require applicable collective bargaining agreement minimum additional desire qualification prefer qualification degree andor experience deem comparable andor equivalent oakland university sole exclusive discretion consider additional qualification position purpose critical technical leader enterprise application team provide technical leadership mission critical erp project area university operation incumbent actively handle enterprise database system installation maintenance ellucian banner vendor application suite operating oracle database management software environment provide technical leadership hand maintenance enterprise management environment critical success ability identify research plan manage perform install vendor application upgrade patch erp solve technical issue relate environment
